Ward_Number,Zone,Zone_Chairperson,Councillor_Name,Address,Contact,Party,Committee,Sewerage_Stations,Street_Lights_Count,Water_Supply_Scheme
38,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
39,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
40,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
41,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
42,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
43,SOUTH - ZONE IV,Dr. C. Mohan,Thiru. D. Ravi,"38, NMR road, kamarajapuram, munichalai, Madurai - 625009",+91 9994167700,DMK,ZONE - IV(SOUTH) CHAIRPERSON,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
44,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
45,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
46,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
47,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
48,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
49,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
50,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
51,CENTRAL - ZONE III,Dr. W. Savitha,Smt. T. Nirmala,"4A, vellalar 1st lane, west tower street, Madurai - 625001",+91 9944100306,DMK,Taxation and Finance Committee CHAIRPERSON,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
52,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
53,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
54,CENTRAL - ZONE III,Dr. W. Savitha,Dr. J. Geetha,"24/37, south mada street, near perumal kovil street, Madurai - 625001",+91 8148283824,DMK,Accounts Committee CHAIRPERSON,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
55,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
56,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
57,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
58,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
59,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
60,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
61,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
62,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
63,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
64,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
65,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
66,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
67,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
68,CENTRAL - ZONE III,Dr. W. Savitha,Dr. U. Rohit,"116, muthunagar 2nd street, ponmeni main road, Madurai - 625016",+91 9943123458,DMK,Town Planning Committee CHAIRPERSON,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
69,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
70,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
71,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
72,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
73,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
74,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
75,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
76,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
77,CENTRAL - ZONE III,Dr. W. Savitha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,0.0,Vaigai Water Supply Scheme (68 MLD)
78,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
79,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
